"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"C2a","Proteobacteria","Gammaproteobacteria","Methylophilaceae; OM43_clade",1.043,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Moraxellaceae; Psychrobacter",1.78,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Nitrincolaceae; uncultured",12.571,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","OM182_clade_fa; OM182_clade_ge",3.251,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Porticoccaceae; SAR92_clade",2.076,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Pseudohongiellaceae; Pseudohongiella",1.233,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","SAR86_clade_fa; SAR86_clade_ge",6.171,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; uncultured",0.401,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Thioglobaceae; SUP05_cluster",2.442,"Gammaproteobacteria"
"C2a","Tenericutes","Mollicutes","Mycoplasmataceae; uncultured",0.063,"Mollicutes"
"C2a","Thaumarchaeota","Nitrososphaeria","Nitrosopumilaceae; Candidatus_Nitrosopumilus",0.04,"Nitrososphaeria"
"C2a","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; Lentimonas",0.235,"Verrucomicrobiae"
"C2a","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Persicirhabdus",0.672,"Verrucomicrobiae"
"C2a","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Roseibacillus",0.305,"Verrucomicrobiae"
"C2b1","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",2.822,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Cryomorphaceae; NS10_marine_group",0.946,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",0.647,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",2.51,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",5.464,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",0.113,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutimonas",0.839,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",0.157,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",5.719,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",4.577,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter_1",1.031,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",2.261,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",1.336,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; uncultured",2.212,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","NS11-12_marine_group; NS11-12_marine_group_ge",4.465,"Bacteroidia"
"C2b1","Bacteroidetes","Bacteroidia","NS9_marine_group; NS9_marine_group_ge",1.403,"Bacteroidia"
"C2b1","Proteobacteria","Alphaproteobacteria","Clade_I; Clade_Ia",0.306,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Clade_III; Clade_III_ge",0.036,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Magnetospiraceae; uncultured",0.341,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Amylibacter",1.159,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Ascidiaceihabitans",0.228,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Loktanella",1.801,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Planktomarina",6.156,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sulfitobacter",4.064,"Alphaproteobacteria"
"C2b1","Proteobacteria","Alphaproteobacteria","SAR116_clade; SAR116_clade_ge",0.074,"Alphaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Paraglaciecola",0.083,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Burkholderiaceae; RS62_marine_group",1.585,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Halieaceae; Halioglobus",0.17,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Halieaceae; Luminiphilus",0.074,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Halieaceae; OM60(NOR5)_clade",2.457,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Methylophagaceae; uncultured",0.568,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Methylophilaceae; Methylotenera",0.652,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Methylophilaceae; OM43_clade",0.297,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Moraxellaceae; Psychrobacter",0.106,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Nitrincolaceae; uncultured",17.492,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","OM182_clade_fa; OM182_clade_ge",8.511,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Porticoccaceae; SAR92_clade",5.487,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Pseudohongiellaceae; Pseudohongiella",1.184,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","SAR86_clade_fa; SAR86_clade_ge",4.192,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; uncultured",0.035,"Gammaproteobacteria"
"C2b1","Proteobacteria","Gammaproteobacteria","Thioglobaceae; SUP05_cluster",0.057,"Gammaproteobacteria"
"C2b1","Thaumarchaeota","Nitrososphaeria","Nitrosopumilaceae; Candidatus_Nitrosopumilus",0.096,"Nitrososphaeria"
"C2b1","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; Lentimonas",1.647,"Verrucomicrobiae"
