"s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","index","stat","p.value","ASV","indicator_cluster"
1,0,0,1,0,0,0,1,0,1,238,0.474002734424903,0.008,"SAR324_clade(Marine_group_B) (100); SAR324_clade(Marine_group_B)_fa (100); SAR324_clade(Marine_group_B)_ge (100); ESV_610","1+4+8+10"
1,1,0,0,0,0,0,1,0,0,61,0.499843607614446,0.008,"KI89A_clade (100); KI89A_clade_fa (100); KI89A_clade_ge (100); ESV_857","1+2+8"
0,0,0,0,0,0,0,0,1,0,9,0.427816854343137,0.008,"Tenderiales (94); Tenderiaceae (94); Candidatus_Tenderia (94); ESV_2955","9"
0,0,0,0,0,0,1,0,0,0,7,0.408248290463863,0.009,"Enterobacteriales (12); Enterobacteriaceae (12); endosymbionts2 (7); ESV_967","7"
1,1,0,1,0,0,0,0,0,0,57,0.45536294932239,0.009,"Arenicellales (100); Arenicellaceae (100); Arenicella (100); ESV_2959","1+2+4"
0,1,0,0,0,0,0,0,0,0,2,0.41101017605818,0.012,"SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_757","2"
0,0,0,1,0,0,0,1,0,0,38,0.453717999537901,0.013,"Verrucomicrobiales (100); DEV007 (84); DEV007_ge (84); ESV_1187","4+8"
1,0,0,0,0,0,0,1,0,0,17,0.377964473009227,0.013,"Vibrionales (100); Vibrionaceae (100); Aliivibrio (87); ESV_6211","1+8"
0,0,0,0,0,1,0,1,0,0,47,0.406065039050297,0.014,"Alteromonadales (100); Psychromonadaceae (100); Psychromonas (100); ESV_1193","6+8"
0,0,0,0,0,1,1,1,1,0,381,0.452893702603595,0.014,"Rickettsiales (10); Anaplasmataceae (4); Wolbachia (4); ESV_2884","6+7+8+9"
