"k","PC","test","pair","R2","F_value","p_value","sig"
6,"PC6","Pairwise PERMDISP","C2 vs C6",NA,NA,1,"ns"
6,"PC6","Pairwise PERMDISP","C3 vs C4",NA,NA,0.3796,"ns"
6,"PC6","Pairwise PERMDISP","C3 vs C5",NA,NA,0.9995,"ns"
6,"PC6","Pairwise PERMDISP","C3 vs C6",NA,NA,0.9791,"ns"
6,"PC6","Pairwise PERMDISP","C4 vs C5",NA,NA,0.319,"ns"
6,"PC6","Pairwise PERMDISP","C4 vs C6",NA,NA,0.7037,"ns"
6,"PC6","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9265,"ns"
6,"PC7","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.1179,2.33,0.045,"*"
6,"PC7","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,2.67,0.0273,"*"
6,"PC7","Pairwise PERMANOVA","C1 vs C2",0.2962,9.26,0.075,"ns"
6,"PC7","Pairwise PERMANOVA","C1 vs C3",0.1952,7.52,0.045,"*"
6,"PC7","Pairwise PERMANOVA","C1 vs C4",0.4699,21.27,0.03,"*"
6,"PC7","Pairwise PERMANOVA","C1 vs C5",0.148,4.17,0.102,"ns"
